timeMS,CH,CLE,CRE,aX,aY,aZ
4465,-0.9139,1.8314,2.1845,0.00,-0.12,0.47
4474,-0.9136,1.8329,2.1857,0.00,-0.12,0.47
4483,-0.9134,1.8318,2.1874,0.00,-0.12,0.47
4492,-0.9137,1.8332,2.1851,0.00,-0.12,0.47
4501,-0.9144,1.8328,2.1866,0.00,-0.12,0.47
4510,-0.9129,1.8317,2.1826,0.00,-0.12,0.47
4519,-0.9143,1.8342,2.1849,0.00,-0.12,0.47
4528,-0.9133,1.8338,2.1853,0.00,-0.12,0.47
4537,-0.9135,1.8332,2.1859,0.00,-0.12,0.47
4546,-0.9153,1.8336,2.1872,0.00,-0.12,0.47
4555,-0.9136,1.8330,2.1876,0.00,-0.12,0.47
4564,-0.9148,1.8342,2.1853,0.00,-0.12,0.47
4573,-0.9141,1.8331,2.1856,0.00,-0.12,0.47
4582,-0.9138,1.8327,2.1844,0.00,-0.12,0.47
4591,-0.9134,1.8327,2.1839,0.00,-0.12,0.47
4600,-0.9140,1.8328,2.1861,0.00,-0.12,0.47
4609,-0.9144,1.8331,2.1843,0.00,-0.12,0.47
4618,-0.9159,1.8318,2.1856,0.00,-0.12,0.47
4627,-0.9128,1.8334,2.1871,0.00,-0.12,0.47
4636,-0.9157,1.8326,2.1842,0.00,-0.12,0.47
4645,-0.9140,1.8329,2.1844,0.00,-0.12,0.47
4654,-0.9145,1.8321,2.1853,0.00,-0.12,0.47
4663,-0.9147,1.8331,2.1844,0.00,-0.12,0.47
4672,-0.9128,1.8339,2.1853,0.00,-0.12,0.47
4681,-0.9133,1.8319,2.1864,0.00,-0.12,0.47
4690,-0.9140,1.8339,2.1841,0.00,-0.12,0.47
4699,-0.9141,1.8323,2.1866,0.00,-0.12,0.47
4708,-0.9126,1.8328,2.1874,0.00,-0.12,0.47
4717,-0.9166,1.8323,2.1859,0.00,-0.12,0.47
4726,-0.9155,1.8336,2.1856,0.00,-0.12,0.47
4735,-0.9153,1.8322,2.1880,0.00,-0.12,0.47
4744,-0.9141,1.8319,2.1842,0.00,-0.12,0.47
4753,-0.9141,1.8324,2.1870,0.00,-0.12,0.47
4762,-0.9142,1.8325,2.1874,0.00,-0.12,0.47
4771,-0.9153,1.8329,2.1862,0.00,-0.12,0.47
4780,-0.9138,1.8324,2.1856,0.00,-0.12,0.47
4789,-0.9129,1.8329,2.1844,0.00,-0.12,0.47
4798,-0.9152,1.8317,2.1842,0.00,-0.12,0.47
4807,-0.9139,1.8324,2.1858,0.00,-0.12,0.47
4816,-0.9141,1.8313,2.1867,0.00,-0.12,0.47
4825,-0.9128,1.8315,2.1843,0.00,-0.12,0.47
4834,-0.9140,1.8339,2.1850,0.00,-0.12,0.47
4843,-0.9141,1.8317,2.1852,0.00,-0.12,0.47
4852,-0.9116,1.8337,2.1852,0.00,-0.12,0.47
4861,-0.9144,1.8327,2.1853,0.00,-0.12,0.47
4870,-0.9147,1.8334,2.1851,0.00,-0.12,0.47
4879,-0.9117,1.8327,2.1855,0.00,-0.12,0.47
4888,-0.9136,1.8326,2.1849,0.00,-0.12,0.47
4897,-0.9167,1.8350,2.1860,0.00,-0.12,0.47
4906,-0.9126,1.8329,2.1849,0.00,-0.12,0.47
4915,-0.9138,1.8326,2.1856,0.00,-0.12,0.47
4924,-0.9140,1.8329,2.1862,0.00,-0.12,0.47
4933,-0.9135,1.8316,2.1855,0.00,-0.12,0.47
4942,-0.9118,1.8332,2.1853,0.00,-0.12,0.47
4951,-0.9134,1.8333,2.1864,0.00,-0.12,0.47
4960,-0.9134,1.8331,2.1853,0.00,-0.12,0.47
4969,-0.9150,1.8348,2.1857,0.00,-0.12,0.47
4978,-0.9133,1.8325,2.1852,0.00,-0.12,0.47
4987,-0.9143,1.8332,2.1882,0.00,-0.12,0.47
4996,-0.9141,1.8347,2.1841,0.00,-0.12,0.47
5005,-0.9157,1.8332,2.1846,0.00,-0.12,0.47
5014,-0.9154,1.8323,2.1852,0.00,-0.12,0.47
5023,-0.9142,1.8324,2.1847,0.00,-0.12,0.47
5032,-0.9138,1.8325,2.1839,0.00,-0.12,0.47
5041,-0.9139,1.8340,2.1844,0.00,-0.12,0.47
5050,-0.9146,1.8331,2.1866,0.00,-0.12,0.47
5059,-0.9132,1.8325,2.1874,0.00,-0.12,0.47
5068,-0.9148,1.8329,2.1854,0.00,-0.12,0.47
5077,-0.9147,1.8328,2.1867,0.00,-0.12,0.47
5086,-0.9136,1.8324,2.1843,0.00,-0.12,0.47
5095,-0.9111,1.8330,2.1843,0.00,-0.12,0.47
5104,-0.9129,1.8319,2.1861,0.00,-0.12,0.47
5113,-0.9132,1.8330,2.1865,0.00,-0.12,0.47
5122,-0.9126,1.8331,2.1861,0.00,-0.12,0.47
5131,-0.9140,1.8335,2.1848,0.00,-0.12,0.47
5140,-0.9138,1.8310,2.1875,0.00,-0.12,0.47
5149,-0.9149,1.8329,2.1877,0.00,-0.12,0.47
5158,-0.9168,1.8331,2.1861,0.00,-0.12,0.47
5167,-0.9123,1.8333,2.1834,0.00,-0.12,0.47
5176,-0.9161,1.8320,2.1846,0.00,-0.12,0.47
5185,-0.9139,1.8316,2.1870,0.00,-0.12,0.47
5194,-0.9116,1.8323,2.1851,0.00,-0.12,0.47
5203,-0.9131,1.8327,2.1871,0.00,-0.12,0.47
5212,-0.9116,1.8316,2.1874,0.00,-0.12,0.47
5221,-0.9134,1.8330,2.1839,0.00,-0.12,0.47
5230,-0.9138,1.8332,2.1866,0.00,-0.12,0.47
5239,-0.9138,1.8325,2.1866,0.00,-0.12,0.47
5248,-0.9132,1.8326,2.1868,0.00,-0.12,0.47
5257,-0.9135,1.8314,2.1856,0.00,-0.12,0.47
5266,-0.9159,1.8306,2.1849,0.00,-0.12,0.47
5275,-0.9144,1.8324,2.1833,0.00,-0.12,0.47
5284,-0.9150,1.8339,2.1842,0.00,-0.12,0.47
5293,-0.9127,1.8316,2.1856,0.00,-0.12,0.47
5302,-0.9146,1.8319,2.1865,0.00,-0.12,0.47
5311,-0.9152,1.8343,2.1883,0.00,-0.12,0.47
5320,-0.9131,1.8330,2.1843,0.00,-0.12,0.47
5329,-0.9129,1.8318,2.1860,0.00,-0.12,0.47
5338,-0.9155,1.8333,2.1857,0.00,-0.12,0.47
5347,-0.9143,1.8317,2.1856,0.00,-0.12,0.47
5356,-0.9134,1.8343,2.1846,0.00,-0.12,0.47
5365,-0.9139,1.8322,2.1841,0.00,-0.12,0.47
5374,-0.9135,1.8326,2.1857,0.00,-0.12,0.47
5383,-0.9126,1.8338,2.1848,0.00,-0.12,0.47
5392,-0.9140,1.8329,2.1855,0.00,-0.12,0.47
5401,-0.9130,1.8317,2.1868,0.00,-0.12,0.47
5410,-0.9141,1.8316,2.1840,0.00,-0.12,0.47
5419,-0.9137,1.8346,2.1853,0.00,-0.12,0.47
5428,-0.9161,1.8312,2.1863,0.00,-0.12,0.47
5437,-0.9122,1.8331,2.1866,0.00,-0.12,0.47
5446,-0.9137,1.8335,2.1856,0.00,-0.12,0.47
5455,-0.9142,1.8321,2.1859,0.00,-0.12,0.47
5464,-0.9142,1.8325,2.1853,0.00,-0.12,0.47
5473,-0.9119,1.8338,2.1843,0.00,-0.12,0.47
5482,-0.9138,1.8333,2.1863,0.00,-0.12,0.47
5491,-0.9130,1.8331,2.1859,0.00,-0.12,0.47
5500,-0.9123,1.8323,2.1865,0.00,-0.12,0.47
5509,-0.9143,1.8331,2.1867,0.00,-0.12,0.47
5518,-0.9140,1.8347,2.1867,0.00,-0.12,0.47
5527,-0.9137,1.8324,2.1863,0.00,-0.12,0.47
5536,-0.9135,1.8330,2.1872,0.00,-0.12,0.47
5545,-0.9153,1.8312,2.1859,0.00,-0.12,0.47
5554,-0.9135,1.8327,2.1855,0.00,-0.12,0.47
5563,-0.9130,1.8324,2.1863,0.00,-0.12,0.47
